     1.097     1.004     0.999     1.059     1.092     1.991     1.912     2.079     1.961     2.013
     0.000     0.000     1.000     0.000     0.000     0.000     1.074     0.000     0.000     0.000
     1.113     0.000     0.000     0.000     1.059     0.000     0.000     0.000     1.067     0.000
     0.000     0.000     0.000     1.000     0.000     0.000     0.000     1.081     0.000     0.000
     0.000     0.943     0.000     0.000     0.000     1.047     0.000     0.000     0.000     1.008
     0.000     0.000     0.000     0.000     1.000     0.000     0.000     0.000     0.000     1.000
     0.469     0.000     0.535     0.000     0.000     0.410     0.000     0.000     0.000     0.529
     0.000     0.000     0.000     0.000     0.458     0.000     0.000     0.000     0.000     0.000
     0.794     0.000     0.000     0.000     0.000     0.000     0.000     0.675     0.000     0.000
     0.000     0.000     0.000     0.000     0.000     0.749     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000     0.744     0.000     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000     0.712     0.000     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000
     1.023     1.042     0.000     0.000     0.262     0.459     0.000     0.000     0.482     0.295
     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     0.407     0.205
     0.546     0.000     0.000     2.030     0.000     0.000    -0.021     1.719
